Timestamps,
1182286,20
1183168,20
1186174,20
1190440,1
1191213,1
1197425,4
1200151,4
1217242,2
1219106,3
1221221,0
1222310,3
1222607,0
1224178,2
1226822,20
1234664,1
1236151,1
1245240,4
1252561,4
1267190,20
1269674,2
1273540,0
1275994,2
1276625,0
1277893,3
1279922,3
1282331,1
1290148,1
1296951,4
1300082,4
1306836,20
1316973,2
1321589,0
1325597,3
1327669,2
1332771,3
1335606,20
1336574,1
1337472,1
1357134,4
1360403,4
1368177,0
1369729,2
1372826,2
1374052,0
1380025,3
1382013,3
1387112,20
1395872,1
1397144,1
1405021,4
1412333,4
1415725,20
1427585,0
1429358,2
1432867,2
1435461,0
1436809,1
1437725,3
1438603,1
1440713,3
1456463,20
1457839,4
1461466,4
1477184,2
1480911,0
1482868,0
1484373,2
1484973,3
1494453,1
1497173,20
1497664,1
1505818,4
1513206,4
1528921,0
1530067,2
1532934,2
1535401,0
1537310,20
1538631,3
1540415,3
1542373,1
1550038,1
1558630,4
1561526,4
1576825,2
1577878,20
1581022,0
1582034,0
1585178,2
1596334,1
1597794,1
1605413,3
1608934,3
1616488,20
1618075,4
1620177,4
1629712,2
1632601,2
1642024,0
1643691,1
1644807,0
1645816,3
1648575,20
1652904,1
1654718,3
1658747,4
1659437,4
1678942,2
1684296,2
1687414,20
1689162,0
1695994,1
1699096,3
1701952,1
1702255,3
1716822,4
1720225,4
1726590,20
1734107,2
1737527,2
1741069,0
1742787,0
1757001,1
1760526,1
1761903,3
1763226,3
1766562,4
1769607,20
1773311,4
1787309,0
1789179,2
1792632,2
1795751,0
1797264,1
1801373,1
1806347,20
1807297,3
1812476,3
1818302,4
1820526,4
1838254,2
1845178,2
1847047,20
1852422,0
1855740,1
1856589,0
1857516,1
1860908,3
1861866,3
1866046,4
1873094,4
1887128,20
1889284,2
1892736,2
1902224,0
1903326,0
1904112,1
1906769,3
1909747,1
1913945,3
1919510,4
1920777,4
1927094,20
1938344,2
1945105,2
1949294,0
1955698,1
1956618,1
1956869,0
1965682,3
1966877,20
1967692,4
1972195,3
1972965,4
1989960,2
1991747,2
2002084,0
2003365,0
2004067,1
2006963,20
2009345,1
2019205,3
2020988,4
2022183,4
2036427,20
2049500,2
2052676,2
2057315,1
2058196,1
2064832,0
2067509,3
2068980,0
2073559,3
2076877,4
2077971,20
2080666,4
2096625,2
2104575,2
2107778,0
2116424,20
2117313,1
2120665,3
2121891,1
2124614,3
2126606,4
2133157,4
2149294,2
2152652,2
2159446,20
2162517,0
2163973,0
2165655,1
2170286,1
2176880,4
2179463,3
2181670,3
2181958,4
2196562,20
2198052,2
2204914,2
2219116,1
2222819,0
2223799,0
2224464,1
2225734,4
2226612,3
2233049,4
2233485,3
2236890,20
2249051,2
2253203,2
2265566,1
2273198,1
2274856,0
2276482,0
2276919,20
2278684,4
2279413,3
2280446,4
2281083,3
2311148,2
2312400,2
2315139,1
2317097,20
2318055,1
2322705,0
2324138,0
2326764,4
2332568,4
2339720,3
2340554,3
2356598,20
2358627,2
2366186,2
2377022,1
2377981,1
2380021,4
2380924,4
2382951,0
2385137,0
2386669,3
2388114,20
2393127,3
2410966,2
2411918,2
2423588,1
2426778,20
2429236,0
2430120,1
2435247,0
2439653,4
2441598,4
2448175,3
2453185,3
2457854,2
2465341,2
2467199,20
2476391,1
2477307,1
2481826,0
2483661,0
2486021,4
2492939,4
2499099,3
2504992,3
2506694,20
2510984,2
2516253,2
2523586,1
2530388,1
2540088,4
2541561,4
2542709,0
2543516,0
2547736,3
2549580,20
2554166,3
2558327,2
2565321,2
2578308,1
2579050,1
2586418,4
2587418,20
2588234,0
2593584,4
2595671,0
2598133,3
