camera_timestamp,radar_timestamp,closest_radar_timestamp,tokens
1900-01-01 15:28:19.005004,1900-01-01 15:28:19.011918,15:28:19.011918,608413
1900-01-01 15:28:19.056644,1900-01-01 15:28:19.048005,15:28:19.048005,782067
1900-01-01 15:28:19.100686,1900-01-01 15:28:19.088127,15:28:19.088127,508088
1900-01-01 15:28:19.148770,1900-01-01 15:28:19.117411,15:28:19.158201,817179
1900-01-01 15:28:19.197783,1900-01-01 15:28:19.158201,15:28:19.197819,627910
1900-01-01 15:28:19.248124,1900-01-01 15:28:19.197819,15:28:19.239875,263845
1900-01-01 15:28:19.300742,1900-01-01 15:28:19.239875,15:28:19.318274,627925
1900-01-01 15:28:19.350103,1900-01-01 15:28:19.267259,15:28:19.348225,710093
1900-01-01 15:28:19.401400,1900-01-01 15:28:19.318274,15:28:19.388785,523743
1900-01-01 15:28:19.450680,1900-01-01 15:28:19.348225,15:28:19.468289,198509
1900-01-01 15:28:19.498414,1900-01-01 15:28:19.388785,15:28:19.497844,826411
1900-01-01 15:28:19.552088,1900-01-01 15:28:19.427827,15:28:19.538667,160786
1900-01-01 15:28:19.599777,1900-01-01 15:28:19.468289,15:28:19.618872,705098
1900-01-01 15:28:19.650332,1900-01-01 15:28:19.497844,15:28:19.647501,579323
1900-01-01 15:28:19.704457,1900-01-01 15:28:19.538667,15:28:19.698476,508760
1900-01-01 15:28:19.746117,1900-01-01 15:28:19.577899,15:28:19.728329,240781
1900-01-01 15:28:19.798567,1900-01-01 15:28:19.618872,15:28:19.811275,905217
1900-01-01 15:28:19.849989,1900-01-01 15:28:19.647501,15:28:19.838844,685028
1900-01-01 15:28:19.900373,1900-01-01 15:28:19.698476,15:28:19.919914,772785
1900-01-01 15:28:19.949722,1900-01-01 15:28:19.728329,15:28:19.958092,792044
1900-01-01 15:28:19.997933,1900-01-01 15:28:19.768452,15:28:19.999698,965263
1900-01-01 15:28:20.050662,1900-01-01 15:28:19.811275,15:28:20.027462,291883
1900-01-01 15:28:20.096879,1900-01-01 15:28:19.838844,15:28:20.078704,735080
1900-01-01 15:28:20.152122,1900-01-01 15:28:19.877705,15:28:20.148695,757212
1900-01-01 15:28:20.196933,1900-01-01 15:28:19.919914,15:28:20.191040,980214
1900-01-01 15:28:20.248745,1900-01-01 15:28:19.958092,15:28:20.257769,817745
1900-01-01 15:28:20.303663,1900-01-01 15:28:19.999698,15:28:20.298865,535671
1900-01-01 15:28:20.350797,1900-01-01 15:28:20.027462,15:28:20.342899,259771
1900-01-01 15:28:20.399084,1900-01-01 15:28:20.078704,15:28:20.407528,134630
1900-01-01 15:28:20.448381,1900-01-01 15:28:20.118021,15:28:20.458629,575373
1900-01-01 15:28:20.499704,1900-01-01 15:28:20.148695,15:28:20.487746,191205
1900-01-01 15:28:20.549594,1900-01-01 15:28:20.191040,15:28:20.568158,510572
1900-01-01 15:28:20.601532,1900-01-01 15:28:20.228822,15:28:20.611722,530850
1900-01-01 15:28:20.647586,1900-01-01 15:28:20.257769,15:28:20.638843,316225
1900-01-01 15:28:20.698719,1900-01-01 15:28:20.298865,15:28:20.678840,101684
1900-01-01 15:28:20.745363,1900-01-01 15:28:20.342899,15:28:20.761383,309625
1900-01-01 15:28:20.799051,1900-01-01 15:28:20.379421,15:28:20.788137,817224
1900-01-01 15:28:20.847975,1900-01-01 15:28:20.407528,15:28:20.839106,633599
1900-01-01 15:28:20.898970,1900-01-01 15:28:20.458629,15:28:20.908681,860194
1900-01-01 15:28:20.960330,1900-01-01 15:28:20.487746,15:28:20.948179,964740
1900-01-01 15:28:20.995211,1900-01-01 15:28:20.528529,15:28:20.988744,318446
1900-01-01 15:28:21.047930,1900-01-01 15:28:20.568158,15:28:21.058937,375284
1900-01-01 15:28:21.097944,1900-01-01 15:28:20.611722,15:28:21.102877,905778
1900-01-01 15:28:21.146365,1900-01-01 15:28:20.638843,15:28:21.139974,988373
1900-01-01 15:28:21.196904,1900-01-01 15:28:20.678840,15:28:21.218999,400134
1900-01-01 15:28:21.252297,1900-01-01 15:28:20.718827,15:28:21.249012,419461
1900-01-01 15:28:21.300299,1900-01-01 15:28:20.761383,15:28:21.289069,286148
1900-01-01 15:28:21.349589,1900-01-01 15:28:20.788137,15:28:21.368788,213078
1900-01-01 15:28:21.400400,1900-01-01 15:28:20.839106,15:28:21.398098,158138
1900-01-01 15:28:21.446100,1900-01-01 15:28:20.869067,15:28:21.439323,498743
1900-01-01 15:28:21.500075,1900-01-01 15:28:20.908681,15:28:21.519747,653493
1900-01-01 15:28:21.545421,1900-01-01 15:28:20.948179,15:28:21.548063,616217
1900-01-01 15:28:21.601248,1900-01-01 15:28:20.988744,15:28:21.599159,199393
1900-01-01 15:28:21.653747,1900-01-01 15:28:21.018029,15:28:21.669090,361734
1900-01-01 15:28:21.701219,1900-01-01 15:28:21.058937,15:28:21.708531,865375
1900-01-01 15:28:21.747862,1900-01-01 15:28:21.102877,15:28:21.749122,645913
1900-01-01 15:28:21.796040,1900-01-01 15:28:21.139974,15:28:21.778574,783422
1900-01-01 15:28:21.846756,1900-01-01 15:28:21.167848,15:28:21.858775,566388
